Sold,,,,,,,,,,,
Address,Total $ Invested,Sales Price,Gross Profit,Sale Date,Size (Single/Double),Year Built,Must Move (Yes/No),Bedrooms/Bathrooms,Windzone 1 or 2,Move in ready?,Rating
316 Winter Dr,"$20,500","$15,500","-$5,250",1/7/22,Single,,No,,,,
649 Campbell Rd.,"$15,000","$23,000","$8,000",1/7/22,,,,,,,
127 Wilkinson Rd.,"$26,000","$35,000","$7,500",1/25/22,,,,,,,
128 Sudbury ,"$13,000","$28,000","$15,000",2/4/22,,,,,,,
212 George Keen ,"$29,188","$34,000","$4,412",2/12/22,Double,,Yes,,,,
305 Hopewell Dr.,"$22,000","$40,000","$18,000",2/18/22,,,,,,,
166 Bayboro,"$31,000","$55,000","$24,000",2/25/22,,,No,,,,
126 Sequoia,"$16,000","$48,000","$32,000",3/25/22,,,,,,,
255 Sweatman Dr,"$21,000","$35,800","$7,400",4/15/22,,,,,,,
268 Washington Town Rd,"$2,900","$16,000","$13,100",4/21/22,,,,,,,
134 Barton Dr,"$17,008","$32,000","$14,992",5/2/22,,,,,,,
451 Gospel Hill Rd.,"$18,000","$22,000","$4,000",5/24/22,,,,,,,
514 Labeau Pl,"$3,150","$5,000","$1,850",6/9/22,,,,,,,
231 Jacquelyn Ct,"$34,946","$45,000","$10,054",6/14/22,,,,,,,
7941 Morris Bing Rd,"$3,000","$18,000","$15,000",6/23/22,,,,,,,
111 Lazy Way rd,"$4,845","$5,000",-$545,7/25/22,,,,,,,
1086 Old Pee Dee Rd.,"$37,084","$50,000","$12,916",7/29/22,,,,,,,
827 Oakley Rd.,"$17,325","$34,000","$16,675",8/2/22,,,,,,,
1380 Lieben Rd. ,$175,"$5,000","$4,825",8/12/22,,,,,,,
429 Richardson St. ,"$9,000","$15,000","$6,000",8/17/22,,,,,,,
303 Sweatman Dr.,"$17,660","$33,000","$15,340",8/22/22,,,,,,,
1598 Grimball Ext.,"$7,850","$14,000","$6,150",8/22/22,,,,,,,
201 Scotch Range Rd. ,"$32,940","$50,000","$17,060",9/2/22,,,,,,,
